"","Feature ID","Taxon","Confidence","ASV"
"1","0047db2d73426be4db28cf3b9e8358ce","d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__uncultured_Bdellovibrionales",0.998244652526153,"ASV2229"
"2","005a1e250a1063f028ee7e833c034d7d","d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Oryzihumus; s__uncultured_bacterium",0.870615804567169,"ASV512"
"3","006e52762126a9f72e3ea0d3965c89bb","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter; s__uncultured_bacterium",0.889776649748438,"ASV864"
"4","008dea7cb56023454d7ba3af817a4f00","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Taibaiella",0.999922779089225,"ASV1810"
"5","00a19b988777d1dcd77ffaf2276e648a","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_Acidobacteriales",0.734362325100228,"ASV1024"
"6","00c9fd34bad4bb332d7a95cee4c23cf1","d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured",0.99999998143435,"ASV1818"
"7","00d0b30327c0d4cedc8738974f330269","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured",0.99991260167688,"ASV2050"
"8","00e41045737b54747bd0a9cb4b36fae0","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Filimonas",0.965937157357384,"ASV1554"
"9","00f568b7eb1a2e63f4d18cde51fc767d","d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus",0.999973031001556,"ASV492"
"10","00fcc8aece90513430097df6a5ed9693","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae",0.999869445424791,"ASV1217"
"11","019c8c356588ab88f36d18a20bb7535f","d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256",0.920491075333786,"ASV1903"
"12","01b9930691e933ac1c36dcd614cca99d","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae",0.99956510677947,"ASV2531"
"13","01c5e1b0b66f91e3e737d86c5d03b5a4","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__GOUTA6; s__uncultured_bacterium",0.948219270182896,"ASV600"
"14","020c2a36d603b1f33fd4470519d0001c","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JG36-TzT-191; f__JG36-TzT-191; g__JG36-TzT-191; s__uncultured_bacterium",0.946857523437921,"ASV1798"
"15","02121bf447d7fcb1daba7dd87fa4d7ad","d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales",0.992844930508758,"ASV749"
"16","0255f08ac4dc6e81f70212a5933487f0","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys",0.964651844830425,"ASV858"
"17","026124719a9e7576b93116325e8a33e2","d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a; s__uncultured_bacterium",0.914837854912938,"ASV965"
