intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
4878000,0.034046889504651956,0.8013799901429276,0.034046889504651956,0.04645635466500157,8.114186141861419,7.0,9.001131976543848,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_002483375.1 Delftia acidovorans, ASM248337v1",35e5e4e4fa881e76842bb8c40fdef1aa,0.8013799901429276,4878000,0,51586000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8967010109682362,0.9928828653683435,0.9447919381682899,0.9928828653683435,False,39581,39581,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas acidovorans
4718000,0.03293014036140794,0.6896753436677391,0.03291618099711739,0.03241651447645786,5.856446140797286,5.0,3.5397840090384842,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_013407925.2 Pseudomonas protegens strain=H1F5C, ASM1340792v2",c61fec04b32dbdf4801cbdf9e64ddfb8,0.6899678268499562,4716000,1,46870000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8957368437402852,0.9881000706009011,0.9419184571705932,0.9881000706009011,False,27619,67200,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AP
4393000,0.030661743664193532,0.773784355179704,0.030654763982048257,0.01934615330444458,3.752959927140255,3.0,2.335330991123684,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_000735435.1 Raoultella planticola ATCC 33531 strain=ATCC 33531, GRPL_DRAFTv1",71be5ad5151138a0e43401cc5b07f58b,0.7739605355884426,4392000,2,42478000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8936769230111068,0.9917684407362145,0.9427226818736607,0.9917684407362145,False,16483,83683,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella planticola
4154000,0.028993599631472782,0.9516609392898052,0.028993599631472782,0.02480270045680537,5.087144920558498,5.0,2.9370892715756973,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428745.1 Elizabethkingia sp. ASV34 strain=ASV34, ASM1642874v1",c81c05f60ced59b403938042c0028901,0.9516609392898052,4154000,3,38324000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8920657043414372,0.9984030035311269,0.945234353936282,0.9984030035311269,False,21132,104815,852004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola
3440000,0.02401010657974636,0.6240451073117498,0.023947289440438883,0.00808329538358975,2.007286505392014,2.0,1.3493327514722335,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428815.1 Serratia sp. ASV30 strain=ASV30, ASM1642881v1",e5a07ef789dd06e9a4027ff8d8f0a2c1,0.6256820662058931,3431000,4,34893000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8866549602362216,0.9849876034956668,0.9358212818659442,0.9849876034956668,False,6887,111702,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_A;s__Serratia_A fonticola
3246000,0.022656048243562987,0.7852820140401839,0.022642088879272437,0.10966849920892391,28.803329223181258,28.0,8.594411556433235,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_023401895.1 Proteobacteria bacterium, ASM2340189v1",8032d226c34445df18cf6335cc7972cd,0.7857661583151779,3244000,5,31649000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8849962379335727,0.9922528732901914,0.9386245556118821,0.9922528732901914,False,93438,205140,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans
3147000,0.021965059711180752,0.7111864406779661,0.021965059711180752,0.017181844216693817,4.651731808071179,4.0,3.0055714635615955,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016429155.1 Pedobacter sp. ASV12 strain=ASV12, ASM1642915v1",8ea15f9c0e21bf88fa984f9c1e9dea06,0.7111864406779661,3147000,6,28502000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8841124298087866,0.9890660006531101,0.9365892152309483,0.9890660006531101,False,14639,219779,852004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp016429155
2295000,0.016018370523406364,0.3759213759213759,0.016018370523406364,0.0066701564781386,2.4762527233115468,2.0,1.6210026448081924,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCA_013823325.1 Methylobacterium sp., ASM1382332v1",f3ae498999dd8cb260bb75399301f42a,0.3759213759213759,2295000,7,26207000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8751539603011365,0.9689323416490334,0.9220431509750849,0.9689323416490334,False,5683,225462,852004,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__Bosea sp013823325
2030000,0.01416875475490846,0.2946389655673398,0.01415479539061791,0.013334444439227985,5.60207100591716,5.0,3.723418035190334,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016919365.1 Sphingobacterium siyangense strain=PDNC006, ASM1691936v1",66c2c1e2c10872d77cf97c8303222119,0.2949295365392997,2028000,8,24179000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8716969735693013,0.9613779072455015,0.9165374404074014,0.9613779072455015,False,11361,236823,852004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium siyangense
1868000,0.013038046247373895,0.28241724870938356,0.012982208790211693,0.004144346740156149,1.8983870967741936,1.0,5.612284680415549,/bsuscratch/jessicabernardin/03_Exp1_metagenomics/13_sourmash/matches.zip,"GCF_016428805.1 Achromobacter sp. ASV32 strain=ASV32, ASM1642880v1",7611d959c597eb2462948a8ef0812806,0.2836319465532949,1860000,9,22319000,/bsuhome/jessicabernardin/scratch/03_Exp1_metagenomics/03_Trim/DNA/paired/DNA11_P18_M06_WK1_2.trim.fastq.gz,DNA11_P18_M06_WK1,cd93fd08,143273000,31,DNA,1000,143273,True,0.8693615007883858,0.9601673638304493,0.9147644323094175,0.9601673638304493,False,3531,240354,852004,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Achromobacter;s__Achromobacter sp016428805
